query,query_len_type,query_sentiment,query_search_type,query_form,LLM,emo_feature_name,emo_feature_percent
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,positive,30.22
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,negative,28.45
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,neutral,41.33
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,joy,12.34
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,anger,12.89
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,surprise,12.42
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,disgust,11.8
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,fear,12.35
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,sadness,12.3
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,trust,13.66
Chi era il padre di Micerino ?,short,neutral,multisteps,OG,Gemma,expectations,12.25
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,positive,26.92
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,negative,32.38
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,neutral,40.7
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,joy,12.59
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,anger,13.23
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,surprise,12.38
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,disgust,12.15
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,fear,12.43
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,sadness,12.67
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,trust,12.55
Il figlio di Chefren,short,neutral,multisteps,OG,Gemma,expectations,12.0
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,positive,25.44
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,negative,18.78
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,neutral,55.78
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,joy,12.45
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,anger,12.73
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,surprise,12.43
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,disgust,12.15
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,fear,12.41
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,sadness,12.34
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,trust,13.12
Il padre di Micerino,short,neutral,multisteps,OG,Gemma,expectations,12.37
Micerino,short,positive,multisteps,OG,Gemma,positive,24.37
Micerino,short,positive,multisteps,OG,Gemma,negative,26.16
Micerino,short,positive,multisteps,OG,Gemma,neutral,49.47
Micerino,short,positive,multisteps,OG,Gemma,joy,12.6
Micerino,short,positive,multisteps,OG,Gemma,anger,12.49
Micerino,short,positive,multisteps,OG,Gemma,surprise,12.62
Micerino,short,positive,multisteps,OG,Gemma,disgust,12.33
Micerino,short,positive,multisteps,OG,Gemma,fear,12.55
Micerino,short,positive,multisteps,OG,Gemma,sadness,12.46
Micerino,short,positive,multisteps,OG,Gemma,trust,12.42
Micerino,short,positive,multisteps,OG,Gemma,expectations,12.54
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,positive,23.99
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,negative,25.17
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,neutral,50.84
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,joy,12.43
